file,type,mu,mu_std,C,C_std,A,A_std
hd4628_Mt_wilson_data.txt,minimum,5208.047120678193,93.37923627032896,0.19718463913495923,0.0007070269597506244,4.886409524822968e-08,1.1938365612651529e-08
hd4628_Mt_wilson_data.txt,minimum,8259.37249346185,10.18636360666108,0.19601718904117343,0.000493274548157743,5.150201508266294e-08,3.215904732155995e-09
hd6920_caii.txt,minimum,7574.018531585428,26.355261230445425,0.18632849031505136,0.0003621702670477216,1.9516836400118706e-08,2.7332395859438835e-09
sol_sind_all.txt,maximum,5192.807194312243,186.15328032380705,0.17837126464398564,0.0004976406830555505,5.944612949794796e-09,4.599150653926281e-09
sol_sind_all.txt,maximum,9076.56489270966,0.0,0.1795116863732709,0.000258207165050192,1.3085160867780587e-21,7.284193723739883e-10
sol_sind_all.txt,maximum,12644.956709871296,33.6738522478849,0.1776080018365446,0.000260217423556273,8.869107215477672e-09,1.930323698848327e-09
sol_sind_all.txt,minimum,3329.101068000033,853.9126956936992,0.16265214143266152,0.0007334115200015198,3.5256638294617076e-09,1.4464438177310128e-08
sol_sind_all.txt,minimum,7033.461830801821,26.228654430232478,0.16425323430511898,0.00010727594976780114,5.178159018705738e-09,8.163389385881906e-10
sol_sind_all.txt,minimum,10963.11333951977,24.966355119911523,0.16346738073547984,0.00016346469576998315,1.0466339091934627e-08,1.2912786666045977e-09
sol_sind_all.txt,minimum,15165.425179194055,41.58900123639497,0.1632790936745394,0.00015135345365299525,3.1579454687624986e-09,1.0920985920168319e-09
sol_sind_subset1_3.txt,maximum,5283.332588959162,67.98563426919968,0.17889372139931417,0.00041875645570559484,1.8358700309395992e-08,4.060184406213009e-09
sol_sind_subset1_3.txt,maximum,9493.364999999105,1011.418007173979,0.18250656042018565,0.00434408134153725,7.034447681652136e-09,1.1125469075776447e-08
sol_sind_subset1_3.txt,minimum,3578.1844800000663,583.4901910781665,0.16208194557378217,0.0007400095202636171,3.5677416933736803e-09,6.3854074327284694e-09
sol_sind_subset1_3.txt,minimum,7031.744585939081,36.74913153256719,0.164200465849756,9.751607119101969e-05,6.057770947813079e-09,8.047714846132537e-10
